,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
109,"30000,00 ",0,0,,6,238.39,240,24,30000,"25,5","1026,00",1,1,2,2,4,0,1
110,"2162,07 ",0,0,,6,81.96,60,36,15000,"16,51","843,38",1,1,2,2,4,0,0
111,"2162,07 ",0,0,,6,81.96,240,36,15000,"16,51","711,29",1,1,2,2,4,0,0
112,"2162,07 ",0,0,,6,81.96,240,36,15000,"16,51","862,59",1,1,2,2,4,0,0
113,"1471,38 ",292,1,,6,83.62,60,36,2100,"21,31","843,38",1,1,2,2,4,0,0
114,"1471,38 ",292,1,,6,83.62,240,36,2100,"21,31","711,29",1,1,2,2,4,0,0
115,"1471,38 ",292,1,,6,83.62,240,36,2100,"21,31","862,59",1,1,2,2,4,0,0
116,"17217,17 ",289,1,,6,112.32,60,36,20000,22,"843,38",1,1,2,2,4,0,0
117,"17217,17 ",289,1,,6,112.32,240,36,20000,22,"711,29",1,1,2,2,4,0,0
118,"17217,17 ",289,1,,6,112.32,240,36,20000,22,"862,59",1,1,2,2,4,0,0
119,"103348,39 ",0,0,,3,395.6,60,60,103400,19,"2031,00",1,1,2,2,5,0,0
120,"103348,39 ",0,0,,3,395.6,264,60,103400,19,"2235,00",1,1,2,2,4,0,0
121,"12762,10 ",0,0,,10,83.06,24,36,13000,31,"362,00",1,1,1,2,3,1,1
122,"3851,42 ",136,1,,6,65.49,24,36,12000,"20,45","869,96",2,1,2,2,4,0,0
123,"637,67 ",0,0,,6,16.37,24,36,3000,"16,16","869,96",2,1,2,2,4,0,0
124,"24280,63 ",0,0,,6,277.67,60,24,34850,"25,5","1561,53",2,1,2,2,4,0,0
125,"101625,19 ",0,0,,6,554.58,72,36,103000,19,"4574,33",1,1,2,2,4,0,0
126,"101625,19 ",0,0,,6,554.58,60,36,103000,19,"1956,62",1,1,2,2,4,0,0
127,"30000,00 ",0,0,,10,165.79,36,42,30000,"27,5","430,00",1,1,1,2,3,0,0
128,"23903,72 ",0,0,,10,169.52,252,60,48000,"13,43","776,00",1,1,2,2,5,0,1
129,"23903,72 ",0,0,,10,169.52,240,60,48000,"13,43","1500,00",1,1,2,2,4,0,1
130,"7604,02 ",0,0,,10,117.39,252,24,14000,32,"776,00",1,1,2,2,5,0,1
131,"7604,02 ",0,0,,10,117.39,240,24,14000,32,"1500,00",1,1,2,2,4,0,1
132,"143,71 ",355,1,,8,0,72,36,2300,22,"725,00",1,1,1,2,1,0,0
133,"19058,78 ",0,0,,3,118.31,252,36,21000,22,"294,48",1,1,2,2,4,0,0
134,"5603,50 ",0,0,,10,75.11,264,24,9000,32,"264,50",1,1,1,2,3,0,0
135,"15313,18 ",355,1,,7,101.58,240,36,18000,22,"1987,51",1,1,2,2,4,0,0
136,"54643,23 ",0,0,,6,273.35,120,48,62700,"18,5","836,88",2,1,2,2,4,0,0
137,"131,19 ",0,0,,10,133.9,36,24,2500,"21,49","344,00",1,1,2,2,4,0,1
138,"6549,73 ",0,0,,5,99.72,312,12,7000,29,"377,54",1,1,2,2,2,0,0
139,"10538,84 ",0,0,,10,90.29,240,36,14000,32,"816,00",1,1,2,2,4,1,1
140,"481,40 ",381,1,,10,0,60,24,1428,"14,2","450,00",1,1,1,2,3,0,0
141,"1012,77 ",0,0,,10,31.22,120,24,4000,24,"98,41",2,1,1,2,3,0,0
142,"3903,12 ",0,0,,10,41.19,240,18,4000,29,"86,08",1,1,1,2,3,0,0
143,"3903,12 ",0,0,,10,41.19,120,18,4000,29,"85,10",1,1,1,2,3,0,0
144,"2645,17 ",626,1,,7,115.86,240,36,3000,"17,53","407,73",1,1,1,2,3,0,0
145,"69004,28 ",0,0,,6,305.38,60,48,70000,19,"2105,00",1,1,2,2,4,0,0
146,"14007,46 ",0,0,,6,95.1,50,36,16100,"25,5","449,03",2,1,2,2,4,0,0
147,"16150,08 ",325,1,,6,119.3,252,36,21000,23,"939,26",2,1,2,2,4,0,0
